"Microservice","Test","Autoscaling","PKG_Energy","Response_Time","Scenario"
"catalogue-db",1,"HPA_Based",3.83,NA,"Write_Intensive"
"orders",1,"HPA_Based",61.6,NA,"Write_Intensive"
"orders-db",1,"HPA_Based",6.23,NA,"Write_Intensive"
"payment",1,"HPA_Based",3.23,NA,"Write_Intensive"
"queue-master",1,"HPA_Based",28.85,NA,"Write_Intensive"
"rabbitmq",1,"HPA_Based",5.19,NA,"Write_Intensive"
"session-db",1,"HPA_Based",3.23,NA,"Write_Intensive"
"shipping",1,"HPA_Based",27.53,NA,"Write_Intensive"
"user-db",1,"HPA_Based",3.21,NA,"Write_Intensive"
"carts",2,"HPA_Based",54.2,NA,"Write_Intensive"
"front-end",2,"HPA_Based",10.8,NA,"Write_Intensive"
"user",2,"HPA_Based",36.4,NA,"Write_Intensive"
"carts-db",2,"HPA_Based",4.17,NA,"Write_Intensive"
"catalogue",2,"HPA_Based",3.17,NA,"Write_Intensive"
"catalogue-db",2,"HPA_Based",5.35,NA,"Write_Intensive"
"orders",2,"HPA_Based",57.36,NA,"Write_Intensive"
"orders-db",2,"HPA_Based",7.41,NA,"Write_Intensive"
"payment",2,"HPA_Based",3.17,NA,"Write_Intensive"
"queue-master",2,"HPA_Based",32,NA,"Write_Intensive"
"rabbitmq",2,"HPA_Based",7.07,NA,"Write_Intensive"
"session-db",2,"HPA_Based",3.17,NA,"Write_Intensive"
"shipping",2,"HPA_Based",29.03,NA,"Write_Intensive"
"user-db",2,"HPA_Based",3.17,NA,"Write_Intensive"
"carts",3,"HPA_Based",54.36,NA,"Write_Intensive"
"front-end",3,"HPA_Based",8.67,NA,"Write_Intensive"
"user",3,"HPA_Based",23.12,NA,"Write_Intensive"
"carts-db",3,"HPA_Based",6.17,NA,"Write_Intensive"
"catalogue",3,"HPA_Based",3.17,762,"Write_Intensive"
"catalogue-db",3,"HPA_Based",3.17,NA,"Write_Intensive"
"orders",3,"HPA_Based",65.58,NA,"Write_Intensive"
"orders-db",3,"HPA_Based",7.1,NA,"Write_Intensive"
"payment",3,"HPA_Based",3.17,NA,"Write_Intensive"
"queue-master",3,"HPA_Based",30.79,NA,"Write_Intensive"
"rabbitmq",3,"HPA_Based",11.44,NA,"Write_Intensive"
"session-db",3,"HPA_Based",3.17,NA,"Write_Intensive"
"shipping",3,"HPA_Based",32.9,NA,"Write_Intensive"
"user-db",3,"HPA_Based",6.81,NA,"Write_Intensive"
"carts",1,"Carbon_Aware_KEDA",26.13,NA,"Write_Intensive"
"front-end",1,"Carbon_Aware_KEDA",15.61,NA,"Write_Intensive"
"user",1,"Carbon_Aware_KEDA",8.6,NA,"Write_Intensive"
"carts-db",1,"Carbon_Aware_KEDA",7.33,NA,"Write_Intensive"
"catalogue",1,"Carbon_Aware_KEDA",9.83,NA,"Write_Intensive"
"catalogue-db",1,"Carbon_Aware_KEDA",4.11,NA,"Write_Intensive"
"orders",1,"Carbon_Aware_KEDA",8.03,NA,"Write_Intensive"
"orders-db",1,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"payment",1,"Carbon_Aware_KEDA",5.14,NA,"Write_Intensive"
"queue-master",1,"Carbon_Aware_KEDA",27.91,NA,"Write_Intensive"
"rabbitmq",1,"Carbon_Aware_KEDA",9.52,NA,"Write_Intensive"
"session-db",1,"Carbon_Aware_KEDA",5.14,NA,"Write_Intensive"
"shipping",1,"Carbon_Aware_KEDA",25.22,NA,"Write_Intensive"
"user-db",1,"Carbon_Aware_KEDA",6.47,NA,"Write_Intensive"
"carts",2,"Carbon_Aware_KEDA",22.47,NA,"Write_Intensive"
"front-end",2,"Carbon_Aware_KEDA",17.5,NA,"Write_Intensive"
"user",2,"Carbon_Aware_KEDA",9.02,NA,"Write_Intensive"
"carts-db",2,"Carbon_Aware_KEDA",6.26,NA,"Write_Intensive"
"catalogue",2,"Carbon_Aware_KEDA",4.92,NA,"Write_Intensive"
"catalogue-db",2,"Carbon_Aware_KEDA",4.92,NA,"Write_Intensive"
"orders",2,"Carbon_Aware_KEDA",20.04,NA,"Write_Intensive"
"orders-db",2,"Carbon_Aware_KEDA",6.98,NA,"Write_Intensive"
"payment",2,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"queue-master",2,"Carbon_Aware_KEDA",24.35,NA,"Write_Intensive"
"rabbitmq",2,"Carbon_Aware_KEDA",12.31,NA,"Write_Intensive"
"session-db",2,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"shipping",2,"Carbon_Aware_KEDA",13.17,NA,"Write_Intensive"
"user-db",2,"Carbon_Aware_KEDA",4.32,NA,"Write_Intensive"
"carts",3,"Carbon_Aware_KEDA",19.36,NA,"Write_Intensive"
"front-end",3,"Carbon_Aware_KEDA",24.37,NA,"Write_Intensive"
"user",3,"Carbon_Aware_KEDA",11.98,NA,"Write_Intensive"
"carts-db",3,"Carbon_Aware_KEDA",6.41,NA,"Write_Intensive"
"catalogue",3,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"catalogue-db",3,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"orders",3,"Carbon_Aware_KEDA",14.34,NA,"Write_Intensive"
"orders-db",3,"Carbon_Aware_KEDA",8.15,NA,"Write_Intensive"
"payment",3,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"queue-master",3,"Carbon_Aware_KEDA",28.35,NA,"Write_Intensive"
"rabbitmq",3,"Carbon_Aware_KEDA",8.15,NA,"Write_Intensive"
"session-db",3,"Carbon_Aware_KEDA",4.98,NA,"Write_Intensive"
"shipping",3,"Carbon_Aware_KEDA",12.55,NA,"Write_Intensive"
"user-db",3,"Carbon_Aware_KEDA",4.3,NA,"Write_Intensive"
